bgg_id,name,year,type
93538,Battleship Galaxies,,boardgame
7470,BattleSpace,1993,boardgame
,Battlestar Galactica,,boardgame
19671,Battlestar Galactica Collectable Card Game,,boardgame
37111,Battlestar Galactica: The Board Game,,boardgame
3271,Battlesuit,,boardgame
1540,BattleTech,1985,boardgame
3487,BattleTech Collectible Card Game,,boardgame
,BattleTech: Alpha Strike,,boardgame
7943,BattleTroops,,boardgame
4934,Battling Tops,,boardgame
22503,Bau cua ca cop,,boardgame
269624,Bauernhof-Bande,,boardgame
19842,Bauernroulette,,boardgame
1588,Bauernschlau,,boardgame
1231,Bausack,,boardgame
4298,Beachhead: A Game of Island Invasions in the South Pacific 1942-1944,,boardgame
92247,Beagle-opoly,,boardgame
281549,Beast,2002,boardgame
175,Beat the Buzzard,1988,boardgame
8486,Bed Bugs,,boardgame
6914,Beda Fomm,1979,boardgame
205346,Beer Empire,2016,boardgame
28723,Before the Wind,2007,boardgame
50750,Belfort,,boardgame
259374,Belratti,2018,boardgame
4316,Belter,,boardgame
,Belägrings-spelet,,boardgame
28298,Bendomino,,boardgame
17449,Beowulf: The Legend,,boardgame
27948,Beppo der Bock,,boardgame
,Bergnein,,boardgame
4839,Berlin ’85: The Enemy at the Gates,1980,boardgame
2296,Bermuda Triangle,1975,boardgame
18757,Bermude,,boardgame
10547,Betrayal at House on the Hill,2004,boardgame
,Bewitched,,boardgame
8786,Beyblade Trading Card Game,,boardgame
,Beyond the Sun,2020,boardgame
32441,Bezzerwizzer,,boardgame
34219,Biblios,,boardgame
307534,Big Adventure,2019,boardgame
313,Big Boss,,boardgame
18741,Big Elementary School Game,,boardgame
20228,Big Kini,,boardgame
464,Billabong,,boardgame
39787,Bindle Rails,,boardgame
,Bisca,,boardgame
2422,Bismarck,1962,boardgame
1527,Bitin' Off Hedz,,boardgame
89668,Bits,,boardgame
13765,Bizingo,,boardgame
436055,Black Book: The Board Game,2025,boardgame
165,Black Box,,boardgame
,Black Death,,boardgame
39242,Black Friday,2010,boardgame
3465,Black Hole,,boardgame
,Black Path Game,,boardgame
235,Blackbeard,,boardgame
12385,Bladestorm,,boardgame
28838,Bleach Trading Card Game,,boardgame
1197,Blink,1995,boardgame
,Blitzkrieg,,boardgame
,Blitzkrieg Module System,,boardgame
,Blob Party,2023,boardgame
330,Block Mania,,boardgame
2559,Blockade,,boardgame
,Blockhead!,,boardgame
,Blockword,,boardgame
2453,Blokus,,boardgame
16395,Blokus Duo,,boardgame
3071,Blood Bowl,1987,boardgame
90137,Blood Bowl: Team Manager – The Card Game,,boardgame
14258,Blood Feud in New York,,boardgame
,Blood on the Clocktower,2022,boardgame
170216,Blood Rage,2015,boardgame
248,Blood Royale,,boardgame
24372,Bloodbath at the Sakarya,,boardgame
11139,"Bloody April: The Battle of Shiloh, 1862",1979,boardgame
11964,Bloody Ridge,,boardgame
34227,Blox,,boardgame
19254,Blue & Gray,,boardgame
,Blue & Gray II,,boardgame
4564,Blue & Gray: Four American Civil War Battles,,boardgame
,Blue Marble Game,,boardgame
508,Blue Max,,boardgame
21882,Blue Moon City,,boardgame
,Blue Stones,,boardgame
58782,Bluffer,,boardgame
4247,Boarding Party,,boardgame
32048,Bobbin' Bumblebee,,boardgame
,Boekenspel,1957,boardgame
,Bohnanza,1997,boardgame
413246,Bomb Busters,2024,boardgame
4646,Bommerz over da Sulphur River,,boardgame
15839,Bonaparte at Marengo,,boardgame
1943,Bonkers!,,boardgame
16320,Bonnie and Clyde,,boardgame
32742,Bookchase,,boardgame
235467,"Boom, Bang, Gold",,boardgame
10997,Boomtown,,boardgame
343905,Boonlake,2021,boardgame
,boop.,2022,boardgame
23920,Border Reivers,,boardgame
40,Borderlands,,boardgame
32164,Borneo,,boardgame
252,Borodino,1972,boardgame
645,Bosworth,,boardgame
619,Bottle Imp,,boardgame
3226,Bowl Bound,,boardgame
16233,Brain Chain,,boardgame
33144,Brainstonz,,boardgame
1866,Brainstorm,,boardgame
148767,Brandon the Brave,2013,boardgame
224517,Brass: Birmingham,2018,boardgame
28720,Brass: Lancashire,2007,boardgame
392,Brawl,,boardgame
12694,Brax,,boardgame
923,Breakaway Rider,,boardgame
20203,Breakout,,boardgame
19859,Breakscore,,boardgame
3825,Breakthrough,2001,boardgame
335,Breakthru,,boardgame
332386,Brew,2021,boardgame
,Brian Clough's Football Fortunes,1987,boardgame
3894,Brilliant Lances,,boardgame
240,Britannia,,boardgame
96,Broadsides and Boarding Parties,,boardgame
2947,Broker,,boardgame
172308,Broom Service,2015,boardgame
136888,Bruges,2013,boardgame
144592,Bruxelles 1893,,boardgame
341178,Bubble Stories,,boardgame
22287,Buccaneer,,boardgame
22908,Buck Rogers,1934,boardgame
548,Buck Rogers – Battle for the 25th Century,,boardgame
8930,Buffy the Vampire Slayer Collectible Card Game,2001,boardgame
5940,Bug Hunter,,boardgame
153571,Bug Race,2014,boardgame
4379,Bug-Eyed Monsters,1983,boardgame
28649,Bug-opoly,,boardgame
